﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:55tecwW4AbNl7wFunW4kLp","Killa","Skeptical, Alix Perez","Without a Trace EP","1","4","252021","spotify:user:outrightmental","2019-11-19T22:24:30Z"
"spotify:track:5vrjc46vBLwZIKtoiOlS1V","The Ladders","Alix Perez, Zero T","The Ladders / Enemy Of Reason","1","1","312496","spotify:user:outrightmental","2019-11-19T22:48:00Z"
"spotify:track:6MtMKc5nknnbr5TDVKLUte","The Raven","Alix Perez","Numbers EP","1","1","300515","spotify:user:outrightmental","2019-11-19T22:48:12Z"
"spotify:track:3X7uk5lVNlOECrLL9ErTfU","Inside Your Love","Alix Perez","Numbers EP","1","3","313953","spotify:user:outrightmental","2019-11-19T22:48:40Z"
"spotify:track:121DhT87ReJSktYDURTsFp","Drifting","Alix Perez","Numbers EP","1","2","345703","spotify:user:outrightmental","2019-11-19T22:48:47Z"
"spotify:track:4S14Nno9879AAqrfyzr2Fa","Enemy Of Reason - Original Mix","Alix Perez, Zero T","The Ladders / Enemy Of Reason","1","2","360000","spotify:user:outrightmental","2019-11-19T22:55:34Z"
"spotify:track:35rwcEch0HziPCSj4asHOd","Elephant Dreams","Alix Perez, Skeptical","Elephant Dreams: EP","1","1","380183","spotify:user:outrightmental","2019-11-19T23:21:14Z"
"spotify:track:6A6YpRpJFbOjLS00YzSvWG","Room 667","Alix Perez, Skeptical","Elephant Dreams: EP","1","4","276829","spotify:user:outrightmental","2019-11-19T23:41:35Z"
"spotify:track:1rsHRlD3O4XMHw3sKd8LED","Allegiance","Alix Perez, Lynx ","Allegiance EP","1","3","399532","spotify:user:outrightmental","2019-11-20T23:02:18Z"
"spotify:track:4fCssMggLXu8OCREhmXjet","I'm Free","Alix Perez","I'm Free / Melanie","1","1","325320","spotify:user:outrightmental","2019-11-20T23:02:31Z"
"spotify:track:4FPdFizSLEq9x91gC0igxc","Inferno","Alix Perez","Allegiance EP","1","1","364252","spotify:user:outrightmental","2019-11-20T23:03:06Z"
"spotify:track:1ccOqLy2nvepeVepQjKjwX","No Sleep","Submarine","No Sleep","1","1","365000","spotify:user:outrightmental","2019-11-20T23:50:17Z"
"spotify:track:56odKzu3iFr4i6GKd41hNM","Fate","Submarine","Fate EP","1","1","293133","spotify:user:outrightmental","2019-11-20T23:50:29Z"
"spotify:track:5kZqdT6cMuKKuDAgN0tCQG","No Sleep","Submarine","Fate EP","1","2","365000","spotify:user:outrightmental","2019-11-20T23:50:36Z"
"spotify:track:0hYlGtHNXvUPUOlFhAmRmb","Return of Enel","Submarine","Fate EP","1","3","297000","spotify:user:outrightmental","2019-11-20T23:50:48Z"
"spotify:track:3rZYrYByg81wbx840Jr49O","Thug Copper - Digital Bonus","Submarine","Fate EP","1","5","283666","spotify:user:outrightmental","2019-11-20T23:51:11Z"
"spotify:track:1YIPDVF0X8dfIIiacuhg6D","IWY","Submarine","IWY","1","1","294534","spotify:user:outrightmental","2019-11-21T00:20:03Z"
"spotify:track:5dD8Sovxgd4jm0P620LJaP","Grunge","Submarine","Grunge","1","1","311710","spotify:user:outrightmental","2019-11-21T00:20:17Z"
"spotify:track:2SaogaoJZnU2lbGHJtkO9f","Posse","Submarine","Posse EP","1","1","298479","spotify:user:outrightmental","2019-11-21T00:43:01Z"
"spotify:track:53sn4VwcdydcsNc5nUyrFn","Penicillin","Submarine","Demand Selects #7","1","3","313601","spotify:user:outrightmental","2019-11-21T00:48:18Z"
"spotify:track:4xRHSQ1qOTnSkXlF1B3k5D","Razzia","Submarine","Razzia","1","2","306172","spotify:user:outrightmental","2019-11-21T00:50:04Z"
"spotify:track:0Jnf6ecplHnJLGXVgxyo4r","Magikess","Ivy Lab","Peninsula EP","1","2","247962","spotify:user:outrightmental","2019-11-26T19:04:14Z"
"spotify:track:7H9VxRLBTcdNvowQ1xGH6W","Callback","Krakota","See For Miles","1","2","248894","spotify:user:outrightmental","2019-11-26T22:58:01Z"
"spotify:track:41dVLgCuclGPfoBGphDdFc","Fever Dreams","Krakota","See For Miles","1","3","261496","spotify:user:outrightmental","2019-11-26T23:55:54Z"
"spotify:track:1trqoAmwtRQJViI44v87Xq","Coyote","Krakota, Urbandawn","Focus Shift","1","1","274582","spotify:user:outrightmental","2019-11-27T00:12:58Z"
